Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     10.30     0.00    20003     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator()
  0.00     10.30     0.00    20003     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::_M_max_size() const
  0.00     10.30     0.00    20003     0.00     0.00  std::allocator<bool>::~allocator()
  0.00     10.30     0.00    20003     0.00     0.00  std::allocator<unsigned long>::allocator<bool>(std::allocator<bool> const&)
  0.00     10.30     0.00    20003     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_allocate(unsigned long)
  0.00     10.30     0.00    20003     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_Bvector_impl(std::allocator<unsigned long> const&)
  0.00     10.30     0.00    20003     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::~_Bvector_impl()
  0.00     10.30     0.00    20003     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_deallocate()
  0.00     10.30     0.00    20003     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_M_reset()
  0.00     10.30     0.00    20003     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_base(std::allocator<bool> const&)
  0.00     10.30     0.00    20003     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::~_Bvector_base()
  0.00     10.30     0.00    20003     0.00     0.00  std::allocator_traits<std::allocator<unsigned long> >::deallocate(std::allocator<unsigned long>&, unsigned long*, unsigned long)
  0.00     10.30     0.00    20003     0.00     0.00  std::allocator_traits<std::allocator<unsigned long> >::allocate(std::allocator<unsigned long>&, unsigned long)
  0.00     10.30     0.00    20003     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long)
  0.00     10.30     0.00    20003     0.00     0.00  std::vector<bool, std::allocator<bool> >::~vector()
  0.00     10.30     0.00    20000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00     10.30     0.00    20000     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<unsigned long>, unsigned long>::_S_select_on_copy(std::allocator<unsigned long> const&)
  0.00     10.30     0.00    20000     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_get_Bit_allocator() const
  0.00     10.30     0.00    20000     0.00     0.00  std::vector<bool, std::allocator<bool> >::size() const
  0.00     10.30     0.00    20000     0.00     0.00  std::allocator<bool>::allocator<unsigned long>(std::allocator<unsigned long> const&)
  0.00     10.30     0.00    20000     0.00     0.00  std::_Bit_iterator std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00     10.30     0.00    20000     0.00     0.00  unsigned long* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned long>(unsigned long const*, unsigned long const*, unsigned long*)
